🕘️更新时间,#genre#
2025-11-23 11:34:27,http://gslbmgsplive.miguvideo.com/migu/kailu/zgtq/51/20251103/index.m3u8?msisdn=2025112310005597a667cb750a4280bd42d9b2ad67f506&mdspid=&spid=600697&netType=0&sid=5910022296&pid=2028597139&timestamp=20251123100055&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=959986621&ParentNodeID=-99&assertID=5910022296&client_ip=106.13.250.90&SecurityKey=20251123100055&promotionId=&mvid=5900006772&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e9377e55f2adafd1fb64119d1bc1a6a4&ddCalcu=4ea9e632a79170ceb515df921a1d4a6fbdf1

央视,#genre#
中国天气,http://gslbmgsplive.miguvideo.com/migu/kailu/zgtq/51/20251103/index.m3u8?msisdn=2025112310005597a667cb750a4280bd42d9b2ad67f506&mdspid=&spid=600697&netType=0&sid=5910022296&pid=2028597139&timestamp=20251123100055&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=959986621&ParentNodeID=-99&assertID=5910022296&client_ip=106.13.250.90&SecurityKey=20251123100055&promotionId=&mvid=5900006772&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e9377e55f2adafd1fb64119d1bc1a6a4&ddCalcu=4ea9e632a79170ceb515df921a1d4a6fbdf1
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=202511230800483b519b8f9756476e9ec1242e8b6cd5eb&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251123080048&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.88&SecurityKey=20251123080048&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=3fbfcdcc543fc02d51a8f6dbc14b9f38&ddCalcu=833fefb29f9bc04d1cccb5d463ff8ca0125d
CGTN,https://smt.passwdword.xyz/Smart.php?id=CGTN
CGTN,https://tzh911.qzz.io/play-smt.php?id=CGTN
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=202511231000505d5eb93901254304b739db0cc6e9dd73&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251123100050&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.90&SecurityKey=20251123100050&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ef6bf4d24fb711a64ee3331a030a5db4&ddCalcu=4ebfed625b9af0043d02a41f3b3731e1ea46
CHC影迷电影,http://gslbmgsplive.miguvideo.com/migu/kailu/chcymdy/51/20250415/index.m3u8?msisdn=2025112310005548099c4f1ddc40e4bebe2407ac60e757&mdspid=&spid=699004&netType=0&sid=5910022176&pid=2028597139&timestamp=20251123100055&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=952383261&ParentNodeID=-99&assertID=5910022176&client_ip=106.13.250.90&SecurityKey=20251123100055&promotionId=&mvid=5900006704&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=04e9841c0c5e0d49223f4c64b77e19e3&ddCalcu=30e4e9e2192e807471bc406cc54ef03d2429

卫视,#genre#
湖南卫视,https://smt.passwdword.xyz/Smart.php?id=hunan_twn
湖南卫视,https://tzh911.qzz.io/play-smt.php?id=hunan_twn
浙江卫视,https://smt.passwdword.xyz/Smart.php?id=zhejiang_twn
浙江卫视,https://tzh911.qzz.io/play-smt.php?id=zhejiang_twn
陕西卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/shan3xiws/51/20220809/index.m3u8?msisdn=20251123100051f5c7cd20e2ef4ba3a4674292ce7b368b&mdspid=&spid=600633&netType=0&sid=5910020475&pid=2028597139&timestamp=20251123100051&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=738910838&ParentNodeID=-99&assertID=5910020475&client_ip=106.13.250.90&SecurityKey=20251123100051&promotionId=&mvid=5900004331&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=11ea50090ce1fec4bc4a8cb729ab45d2&ddCalcu=21d1e5e24a8b50a0902970bcce81af4eccb4
北京卫视,https://smt.passwdword.xyz/Smart.php?id=beijing
北京卫视,https://tzh911.qzz.io/play-smt.php?id=beijing
东方卫视,http://gslbmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/1200/index.m3u8?msisdn=202511231000502daf4e8050ce4f548978b3d1c339262f&mdspid=&spid=600697&netType=0&sid=5910022185&pid=2028597139&timestamp=20251123100050&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=106.13.250.90&SecurityKey=20251123100050&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6253261b7d1e98ad9908eb25f7606f46&ddCalcu=6642ef526310206671fb572db1ee89089a9d
东方卫视,https://smt.passwdword.xyz/Smart.php?id=dongfangweishi_twn
东方卫视,https://tzh911.qzz.io/play-smt.php?id=dongfangweishi_twn
东南卫视,https://smt.passwdword.xyz/Smart.php?id=fujian
东南卫视,https://tzh911.qzz.io/play-smt.php?id=fujian
广东卫视,https://smt.passwdword.xyz/Smart.php?id=guangdongweishi_twn
广东卫视,https://tzh911.qzz.io/play-smt.php?id=guangdongweishi_twn
江苏卫视,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/1200/index.m3u8?msisdn=20251123100050f74dfdc5a7b649ea8e3e814b897fc44f&mdspid=&spid=699067&netType=0&sid=5500199408&pid=2028597139&timestamp=20251123100050&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=106.13.250.90&SecurityKey=20251123100050&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=1a640dbe7b35d498218fb8dec4980d9c&ddCalcu=c19aed620438009d4bcee7db83b5fd841928
江苏卫视,https://smt.passwdword.xyz/Smart.php?id=jiangsu_twn
江苏卫视,https://tzh911.qzz.io/play-smt.php?id=jiangsu_twn
广西卫视,https://smt.passwdword.xyz/Smart.php?id=guangxi
广西卫视,https://tzh911.qzz.io/play-smt.php?id=guangxi
